UsgsGaugeId,RiverSection
04242500,Deer (Black trib.)
04268800,Deer (St. Lawrence trib.)
01315500,Deer Creek (Hudson Trib.)
01413500,"Delaware, E. Branch"
01422500,"Delaware, Little Delaware"
01421900,"Delaware, W. Branch"
01428500,Delaware
01321000,Doig Creek
01413408,Dry Brook
01321000,Dunning Creek
01321000,East Canada Creek
01349700,East Kill (Schoharie Creek trib)
01315500,East Stony Creek
04215500,"Eighteenmile Creek, S. Br."
04215500,Eighteenmile Creek
01321000,Elbow Creek
04218518,Ellicott Creek
04262500,Elm Creek
01362200,Esopus Creek
01362500,Esopus Creek
01364500,Esopus Creek
04234000,Fall Creek
04242500,"Fish Creek, E. Branch"
01372500,Fishkill Creek
04235250,Flint Creek
01350080,Fox Creek
04223000,Genesee
01321000,Georgia Brook
01315500,Glen Creek
04262500,"Grass, Lower S. Branch"
04262500,"Grass, Middle Branch"
04262500,"Grass, N. Branch"
04262500,"Grass, Upper South Branch"
04262500,Grass
04271500,"Great Chazy, North Branch"
04271500,Great Chazy
423401815,Great Gully Creek
01317000,Hague Brook
01359528,Hannacrois Creek
01321000,Holmes Lake Outlet
04229500,Honeoye Creek
01334500,Hoosic
01312000,Hudson
01315500,Hudson
01327750,Hudson
04256000,Independence River
04256000,Independence
01315000,Indian (Hudson trib.)
04254500,Indian (S.Br. Moose trib.)
04262500,Island Branch
04262500,Jenny Creek
01321000,Jimmy Creek
04275000,John's Brook
04268800,Jordan
01362500,Kaaterskill Creek
04224775,Keshequa Creek
04232482,Keuka Outlet
01361000,Kinderhook Creek
01349700,Kiskatom Creek
01361000,Kline Kill
01421900,Kortright Creek
04268800,Lake Ozonia Outlet
04244000,Limestone Creek
04275000,Little Black Brook
04252500,Little Black Creek
04213075,Little Chautauqua Creek
04268800,Little Trout
04252500,Little Woodhull Creek
04262500,Little
04242500,Mad River
04271500,Marble
04268800,Meacham Lake Outlet
04280450,Mettawee
01414500,Mill Brook
01317000,Mill Creek (Essex County)
01315500,Mill Creek (Hudson trib.)
04256000,Mill Creek (Lewis County)
01357500,Mohawk
